page,device,run,performance,lcp_s,cls,tbt_ms,tested_url,used_auth
explore,desktop,1,99,0.85,0.022,10,http://kritsakorn.thddns.net:5993/explore,none
explore,desktop,2,100,0.74,0.020,4,http://kritsakorn.thddns.net:5993/explore,none
explore,desktop,3,98,1.04,0.003,0,http://kritsakorn.thddns.net:5993/explore,none
explore,mobile,1,90,2.94,0.000,259,http://kritsakorn.thddns.net:5993/explore,none
explore,mobile,2,95,2.09,0.000,210,http://kritsakorn.thddns.net:5993/explore,none
explore,mobile,3,95,2.86,0.001,99,http://kritsakorn.thddns.net:5993/explore,none
signin,desktop,1,99,0.88,0.000,0,http://kritsakorn.thddns.net:5993/signin,none
signin,desktop,2,100,0.78,0.000,0,http://kritsakorn.thddns.net:5993/signin,none
signin,desktop,3,100,0.76,0.000,0,http://kritsakorn.thddns.net:5993/signin,none
signin,mobile,1,93,3.05,0.000,129,http://kritsakorn.thddns.net:5993/signin,none
signin,mobile,2,92,3.17,0.000,143,http://kritsakorn.thddns.net:5993/signin,none
signin,mobile,3,94,2.99,0.000,98,http://kritsakorn.thddns.net:5993/signin,none
owner,desktop,1,99,0.98,0.000,0,http://kritsakorn.thddns.net:5993/owner,owner
owner,desktop,2,99,0.91,0.000,12,http://kritsakorn.thddns.net:5993/owner,owner
owner,desktop,3,99,0.92,0.000,0,http://kritsakorn.thddns.net:5993/owner,owner
owner,mobile,1,89,3.67,0.000,83,http://kritsakorn.thddns.net:5993/owner,owner
owner,mobile,2,99,1.22,0.000,93,http://kritsakorn.thddns.net:5993/owner,owner
owner,mobile,3,100,1.22,0.000,83,http://kritsakorn.thddns.net:5993/owner,owner
tenant,desktop,1,100,0.66,0.028,6,http://kritsakorn.thddns.net:5993/tenant,tenant
tenant,desktop,2,100,0.58,0.028,0,http://kritsakorn.thddns.net:5993/tenant,tenant
tenant,desktop,3,100,0.44,0.029,0,http://kritsakorn.thddns.net:5993/tenant,tenant
tenant,mobile,1,93,3.25,0.001,52,http://kritsakorn.thddns.net:5993/tenant,tenant
tenant,mobile,2,100,1.43,0.000,42,http://kritsakorn.thddns.net:5993/tenant,tenant
tenant,mobile,3,98,2.34,0.000,53,http://kritsakorn.thddns.net:5993/tenant,tenant
bills,desktop,1,99,0.85,0.000,0,http://kritsakorn.thddns.net:5993/tenant/billing,tenant
bills,desktop,2,99,0.86,0.000,0,http://kritsakorn.thddns.net:5993/tenant/billing,tenant
bills,desktop,3,99,0.83,0.000,0,http://kritsakorn.thddns.net:5993/tenant/billing,tenant
bills,mobile,1,92,3.24,0.000,98,http://kritsakorn.thddns.net:5993/tenant/billing,tenant
bills,mobile,2,90,3.48,0.000,114,http://kritsakorn.thddns.net:5993/tenant/billing,tenant
bills,mobile,3,92,3.31,0.000,53,http://kritsakorn.thddns.net:5993/tenant/billing,tenant
