page,device,run,performance,lcp_s,cls,tbt_ms,used_auth
explore,desktop,1,99,0.59,0.021,2,none
explore,desktop,2,97,0.61,0.104,0,none
explore,desktop,3,100,0.61,0.001,0,none
explore,mobile,1,100,1.42,0.000,57,none
explore,mobile,2,99,1.48,0.001,97,none
explore,mobile,3,100,1.52,0.000,72,none
signin,desktop,1,100,0.71,0.000,0,none
signin,desktop,2,100,0.75,0.000,0,none
signin,desktop,3,100,0.80,0.000,0,none
signin,mobile,1,95,2.79,0.000,82,none
signin,mobile,2,91,3.42,0.000,87,none
signin,mobile,3,95,2.79,0.000,90,none
owner,desktop,1,98,1.09,0.000,0,owner
owner,desktop,2,100,0.79,0.000,0,owner
owner,desktop,3,98,1.05,0.002,0,owner
owner,mobile,1,87,3.84,0.000,118,owner
owner,mobile,2,85,3.89,0.000,202,owner
owner,mobile,3,86,3.86,0.000,159,owner
tenant,desktop,1,100,0.80,0.000,1,tenant
tenant,desktop,2,99,0.82,0.000,0,tenant
tenant,desktop,3,100,0.78,0.000,0,tenant
tenant,mobile,1,89,3.48,0.000,177,tenant
tenant,mobile,2,91,3.11,0.000,180,tenant
tenant,mobile,3,93,3.05,0.000,128,tenant
bills,desktop,1,100,0.80,0.000,6,tenant
bills,desktop,2,100,0.77,0.000,0,tenant
bills,desktop,3,100,0.76,0.000,0,tenant
bills,mobile,1,87,3.27,0.000,282,tenant
bills,mobile,2,89,3.05,0.000,256,tenant
bills,mobile,3,91,3.23,0.000,160,tenant
